timestamp,open,high,low,close,volume
2025-07-15 12:37:00+05:30,0.2993,0.2994,0.2993,0.2993,13027.4
2025-07-15 12:38:00+05:30,0.2993,0.2994,0.2992,0.2993,15510.0
2025-07-15 12:39:00+05:30,0.2993,0.2993,0.2992,0.2993,7488.2
2025-07-15 12:40:00+05:30,0.2993,0.2993,0.2992,0.2993,36957.3
2025-07-15 12:41:00+05:30,0.2993,0.2993,0.2992,0.2993,17093.3
2025-07-15 12:42:00+05:30,0.2992,0.2993,0.2992,0.2993,28294.0
2025-07-15 12:43:00+05:30,0.2993,0.2993,0.2991,0.2991,916925.6
2025-07-15 12:44:00+05:30,0.2991,0.2992,0.2991,0.2992,18847.7
2025-07-15 12:45:00+05:30,0.2992,0.2992,0.2991,0.2991,496814.9
2025-07-15 12:46:00+05:30,0.2991,0.2992,0.299,0.299,929069.0
2025-07-15 12:47:00+05:30,0.299,0.2991,0.299,0.299,20704.7
2025-07-15 12:48:00+05:30,0.299,0.2991,0.299,0.299,20347.2
2025-07-15 12:49:00+05:30,0.2991,0.2991,0.299,0.299,139116.9
2025-07-15 12:50:00+05:30,0.299,0.2991,0.299,0.2991,8532.1
2025-07-15 12:51:00+05:30,0.2991,0.2991,0.299,0.299,272828.1
2025-07-15 12:52:00+05:30,0.2991,0.2991,0.299,0.2991,29046.7
2025-07-15 12:53:00+05:30,0.2991,0.2991,0.299,0.2991,21472.3
2025-07-15 12:54:00+05:30,0.2991,0.2991,0.299,0.2991,45048.3
2025-07-15 12:55:00+05:30,0.2991,0.2991,0.299,0.2991,25004.5
2025-07-15 12:56:00+05:30,0.2991,0.2991,0.299,0.2991,68575.5
2025-07-15 12:57:00+05:30,0.299,0.2991,0.299,0.299,12414.3
2025-07-15 12:58:00+05:30,0.2991,0.2991,0.299,0.2991,65480.1
2025-07-15 12:59:00+05:30,0.2991,0.2991,0.299,0.299,61906.9
2025-07-15 13:00:00+05:30,0.299,0.2991,0.299,0.2991,197719.8
2025-07-15 13:01:00+05:30,0.299,0.2991,0.2989,0.2989,605507.9
2025-07-15 13:02:00+05:30,0.299,0.299,0.2989,0.2989,25838.8
2025-07-15 13:03:00+05:30,0.2989,0.299,0.2989,0.299,20973.0
2025-07-15 13:04:00+05:30,0.2989,0.299,0.2989,0.2989,59255.2
2025-07-15 13:05:00+05:30,0.299,0.299,0.2989,0.299,23483.6
2025-07-15 13:06:00+05:30,0.299,0.299,0.2989,0.2989,204498.9
2025-07-15 13:07:00+05:30,0.2989,0.299,0.2989,0.299,57427.1
2025-07-15 13:08:00+05:30,0.2989,0.299,0.2989,0.299,12890.1
2025-07-15 13:09:00+05:30,0.2989,0.299,0.2989,0.299,33789.4
2025-07-15 13:10:00+05:30,0.2989,0.299,0.2989,0.2989,21521.1
2025-07-15 13:11:00+05:30,0.2989,0.2991,0.2989,0.2991,237132.1
2025-07-15 13:12:00+05:30,0.2991,0.2991,0.299,0.299,30181.9
2025-07-15 13:13:00+05:30,0.299,0.299,0.2988,0.2989,1156635.6
2025-07-15 13:14:00+05:30,0.2989,0.2989,0.2988,0.2988,173973.5
2025-07-15 13:15:00+05:30,0.2989,0.2989,0.2987,0.2987,1433262.1
2025-07-15 13:16:00+05:30,0.2988,0.2988,0.2987,0.2988,181988.4
2025-07-15 13:17:00+05:30,0.2988,0.2988,0.2986,0.2986,723857.3
2025-07-15 13:18:00+05:30,0.2986,0.2987,0.2986,0.2987,113604.1
2025-07-15 13:19:00+05:30,0.2987,0.2987,0.2986,0.2987,190783.2
2025-07-15 13:20:00+05:30,0.2986,0.2987,0.2985,0.2985,904842.4
2025-07-15 13:21:00+05:30,0.2986,0.2986,0.2985,0.2985,371275.0
2025-07-15 13:22:00+05:30,0.2985,0.2987,0.2984,0.2986,560489.1
2025-07-15 13:23:00+05:30,0.2986,0.2987,0.2986,0.2986,17652.1
2025-07-15 13:24:00+05:30,0.2986,0.2988,0.2986,0.2987,596864.4
2025-07-15 13:25:00+05:30,0.2986,0.2987,0.2985,0.2985,34731.4
2025-07-15 13:26:00+05:30,0.2985,0.2986,0.2985,0.2986,87357.3
2025-07-15 13:27:00+05:30,0.2985,0.2986,0.2984,0.2984,26453.2
2025-07-15 13:28:00+05:30,0.2985,0.2985,0.2984,0.2985,29124.4
2025-07-15 13:29:00+05:30,0.2985,0.2985,0.2984,0.2985,310598.3
2025-07-15 13:30:00+05:30,0.2984,0.2985,0.2984,0.2985,57406.5
2025-07-15 13:31:00+05:30,0.2984,0.2985,0.2984,0.2985,17770.2
